"SAQ CODE (IPC)/CODE SAQ (CIP)";"UPC";"DESCRIPTION";"SALES UNIT/UNITÉ DE VENTE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE"
"15317916";08437003892028;"Quinta Couselo Turonia Rias Baixas";"750";74;2025;11;3;
"14157391";00057496009505;"À LA CARTE Pinot Grigio vin blanc";"750";3060;2025;11;3;
"15521597";00628120440447;"Arsenal & CO. Limoncello";"750";49;2025;11;3;
"15340673";08031481008270;"Querciabella Mongrana Rosso";"750";109;2025;11;3;
"15042764";03760002912127;"Chateau Philippe Le Hardi Mercurey L'Or des Ducs";"750";43;2025;11;3;
"12641956";00827924071028;"Domaine l'Ange Gardien Rosé";"750";19;2025;11;3;
"13959915";05202797000378;"Glinavos Paleokerisio";"500";17;2025;11;3;
"13594581";03330548002226;"Buissonnier Givry";"750";55;2025;11;3;
"14227257";03760041222584;"Hervé Villemade Cheverny";"750";50;2025;11;3;
"15551104";00990312612575;"Seigneurie de Liret Nuage Effervescent";"750";30;2025;11;3;
"15321077";05203773000634;"Skouras Peplo";"750";9;2025;11;3;
"14559420";00628110292131;"Labranche Cidre Fortifié Feu Domaine Labranche";"700";1;2025;11;3;
"15248236";03355820085612;"Domaine de la Vougeraie Côte de Beaune Les Pierres Blanches";"750";14;2025;11;3;
"15295868";05601096421943;"Quinta Vale D. Maria Douro Superior";"750";101;2025;11;3;
"15342054";00827924089108;"Des Limousin Vidal Classique";"750";16;2025;11;3;
"15425503";09351296000658;"Leko Pinot Noir Adelaide Hills";"750";1;2025;11;3;
"15515613";04000155156139;"Château d'Ampuis Guigal Côte Rôtie";"750";2;2025;11;3;
"15392086";07503044185083;"Palenqueros Rey Arellanes Espadin-Tobasiche Mezcal";"700";2;2025;11;3;
"15511111";03760124911169;"Domaine Michel Sarrazin Givry Premier Cru Les Galaffres";"750";31;2025;11;3;
"10342741";09318560010034;"Sémillon Brokenwood Hunter Valley";"750";17;2025;11;3;
"434993";00083729010888;"Maison Nicolas Merlot-Cabernet Réserve Pays d'Oc";"750";15;2025;11;3;
"15242053";03539084210014;"Domaine Courbis Les Eygats Cornas";"750";3;2025;11;3;
"15184797";00628176471488;"Rosemont Pomme 3 ans";"750";4;2025;11;3;
"196329";00048415360043;"Crème de cacao Meagher liqueur de cacao";"750";97;2025;11;3;
"15363939";04000153639399;"Domaine Vacheron Les Romains Sancerre";"750";4;2025;11;3;
"15369599";06286347709415;"Domaine la Bohème, Cuvée P";"750";6;2025;11;3;
"960310";03451493750014;"Chablis premier cru Vau de Vey Domaine des Malandes";"750";8;2025;11;3;
"15326898";00618397201902;"Del Maguey Las Milpas";"750";2;2025;11;3;
"15431399";03683080642390;"Vadin Plateau Renaissance Extra Brut";"750";13;2025;11;3;
"15505589";04000155055890;"Mas Jullien Blanc";"750";3;2025;11;3;
"12258973";03379935521315;"Château Mont-Redon Lirac";"750";23;2025;11;3;
"13593239";00695555000461;"Benjamin Bridge NV";"750";18;2025;11;3;
"15038722";05604575003432;"Herdade Monte Da Cal Vinho Branco";"750";47;2025;11;3;
"15161430";03359950367860;"Deutz William Brut";"750";5;2025;11;3;
"15509635";00635335180235;"Fumées Blanches Zéro";"750";38;2025;11;3;
"14479702";05607655021869;"Sanjoanne Escolha Vinho Verde Casa de Cello";"750";82;2025;11;3;
"15175348";00818201022758;"Le Volte dell'Ornellaia Toscana i.g.t.";"1500";8;2025;11;3;
"15443550";09421901183363;"Hãhã Syrah";"750";11;2025;11;3;
"15150212";08033373295874;"Frank Cornelissen Munjebel Rosso";"750";22;2025;11;3;
"516252";05201309638429;"Mythos Hellenic bière type lager 6 x 330ml";"330";64;2025;11;3;
"15428704";08032779700777;"Pisoni Codecce Vigneti Delle Dolomiti";"750";14;2025;11;3;
"15273087";09120021686821;"Harkamp Pure Sauvignon Blanc";"750";2;2025;11;3;
"12887294";03760155600179;"Domaine Jacourette Sainte Victoire";"750";30;2025;11;3;
"15168148";09007500457212;"Domäne Wachau Grüner Veltliner Smaragd Kirnberg";"750";2;2025;11;3;
"15529610";03114081521853;"Champagne Louis Roederer + Starck Brut Nature";"750";1;2025;11;3;
"14601181";03514311999917;"Grand Ballon Sauvignon Blanc Val de Loire";"1500";32;2025;11;3;
"15458508";03760254310108;"Roland Grangier Les Combéluz";"750";13;2025;11;3;
"15210529";00628634365076;"Ubald Vodka Seigle";"700";30;2025;11;3;
"13004431";04000130044314;"Les Choisilles François Chidaine Montlouis sur Loire";"750";9;2025;11;3;
"15477127";05600224302567;"Altitude By Duorum Douro";"750";12;2025;11;3;
"14064793";03800224421387;"Via Vinera Bulgarian Heritage Dimyat";"750";-1;2025;11;3;
"15535227";04000155352272;"Matthias Planchon Les Herses cerre 'Les Herses'";"750";6;2025;11;3;
"15262433";04000152624334;"F Raquillet Mercurey Vieilles Vignes";"750";16;2025;11;3;
"15150327";08379830000460;"Domaine Le Galantin Bandol";"750";6;2025;11;3;
"14552236";08026539033205;"Filo di Seta Brunello Montalci Castello Romitorio";"750";6;2025;11;3;
"15355681";05203870003118;"Markou Vineyards Emeis";"750";4;2025;11;3;
"15355701";03275842990025;"Georges Vigouroux Château de Haute Serre Cahors";"750";9;2025;11;3;
"15380798";00056049139119;"Le Cerbère Pinot Noir";"750";228;2025;11;3;
"10785112";00345859001069;"Château Maucamps Haut-Médoc Cru Bourgeois";"750";-2;2025;11;3;
"15122027";03365910720507;"Clos Henri Estate Marlborough";"750";4;2025;11;3;
"13675841";09120013670708;"Huber Riesling Engelsberg";"750";42;2025;11;3;
"15095209";03760011573678;"Abbots & Delaunay Métayage Chardonnay";"750";7;2025;11;3;
"15221931";00628942439384;"La Piffaudière Touraine Gamay";"750";12;2025;11;3;
"10368600";00056049012153;"Christophe Dalbray";"4000";520;2025;11;3;
"14071029";03740069094042;"Domaine le Bout du Monde Tam Tam";"750";20;2025;11;3;
"14354512";08423253171501;"La Val Albarino Rias Baixas";"750";5;2025;11;3;
"872580";03760089870259;"Les Mauguerets La Contrie Saint-Nicolas-de-Bourgueil";"750";52;2025;11;3;
"14198919";04000141989192;"Larmandier-Bernier Levant Vieille Vigne Extra Brut";"750";3;2025;11;3;
"15394292";03500610167928;"J.P. Chenet 24 Carat Gold";"750";2;2025;11;3;
"15021218";08033229401039;"Tenuta La Fortuna Brunello di Montalcino";"1500";1;2025;11;3;
"15518355";03052853085700;"Champagne Bollinger PN TX20";"750";2;2025;11;3;
"14191565";03722255073048;"Marc Pesnot Domaine de la Sénéchalière La Bohème";"750";1;2025;11;3;
"13668392";06009653422010;"Lammershoek Mysteries Pinotage";"750";2;2025;11;3;
"14954497";00873399001909;"Château de la Charrière Pommard Les Vignots";"750";12;2025;11;3;
"15317836";05601064004116;"Quinta do Noval Colheita Porto Tawny";"375";-1;2025;11;3;
"15452190";03700188069161;"Château Grand Corbin Despagne Saint-Emilion Grand Cru";"1500";8;2025;11;3;
"13038956";00067311720034;"Double Vie Cuvée Boisée Vin Rouge";"4000";412;2025;11;3;
"11094760";03451495750012;"Domaine des Malandes Chablis Premier Cru Montmains";"750";14;2025;11;3;
"13622693";03760069460128;"Château de Villeneuve Saumur blanc Les Cormiers";"750";1;2025;11;3;
