saq_entrepot_id,entrepot,code_saq,qty,annee,periode,semaine,date
133,CDM,14250123,56.5833,2022,7,4,2022-10-08
134,CDM,14545132,83.25,2022,7,4,2022-10-08
135,CDM,14561781,54.6667,2022,7,4,2022-10-08
136,CDM,14682882,248.333,2022,7,4,2022-10-08
137,CDM,14682891,54.8333,2022,7,4,2022-10-08
138,CDM,14758699,493.75,2022,7,4,2022-10-08
139,CDM,14954868,49.1667,2022,7,4,2022-10-08
140,CDM,14954876,103.667,2022,7,4,2022-10-08
141,CDM,14960213,1152.17,2022,7,4,2022-10-08
142,CDM,14989770,164.0,2022,7,4,2022-10-08
143,CDM,14989788,130.833,2022,7,4,2022-10-08
144,CDM,14989796,43.6667,2022,7,4,2022-10-08
145,CDM,14989809,37.9167,2022,7,4,2022-10-08
146,CDM,14989825,137.583,2022,7,4,2022-10-08
147,CDM,14989833,70.8333,2022,7,4,2022-10-08
148,CDM,15095284,240.0,2022,7,4,2022-10-08
149,CDQ,14001338,7.4167,2022,7,4,2022-10-08
150,CDQ,14064873,0.75,2022,7,4,2022-10-08
151,CDQ,14545132,21.8333,2022,7,4,2022-10-08
152,CDQ,14561781,51.9167,2022,7,4,2022-10-08
153,CDQ,14682882,15.3333,2022,7,4,2022-10-08
154,CDQ,14682891,10.5833,2022,7,4,2022-10-08
155,CDQ,14758699,4.5,2022,7,4,2022-10-08
156,CDQ,14954868,65.5833,2022,7,4,2022-10-08
157,CDQ,14954876,20.0,2022,7,4,2022-10-08
158,CDQ,14960213,651.0,2022,7,4,2022-10-08
159,CDQ,14989788,22.0,2022,7,4,2022-10-08
160,CDQ,14989796,79.6667,2022,7,4,2022-10-08
161,CDQ,14989809,72.9167,2022,7,4,2022-10-08
162,CDQ,14989833,46.0,2022,7,4,2022-10-08
163,CDM,14001338,18.8333,2022,8,1,2022-10-15
164,CDM,14064873,61.6667,2022,8,1,2022-10-15
165,CDM,14250123,42.4167,2022,8,1,2022-10-15
166,CDM,14545132,79.25,2022,8,1,2022-10-15
167,CDM,14561781,110.5,2022,8,1,2022-10-15
168,CDM,14682882,404.833,2022,8,1,2022-10-15
169,CDM,14682891,53.8333,2022,8,1,2022-10-15
170,CDM,14758699,466.083,2022,8,1,2022-10-15
171,CDM,14954868,101.0,2022,8,1,2022-10-15
172,CDM,14954876,95.25,2022,8,1,2022-10-15
173,CDM,14960213,1132.83,2022,8,1,2022-10-15
174,CDM,14989770,143.083,2022,8,1,2022-10-15
175,CDM,14989788,129.417,2022,8,1,2022-10-15
176,CDM,14989796,46.5,2022,8,1,2022-10-15
177,CDM,14989809,36.8333,2022,8,1,2022-10-15
178,CDM,14989825,377.25,2022,8,1,2022-10-15
179,CDM,14989833,69.75,2022,8,1,2022-10-15
180,CDM,15095284,240.0,2022,8,1,2022-10-15
181,CDQ,14001338,7.25,2022,8,1,2022-10-15
182,CDQ,14064873,0.75,2022,8,1,2022-10-15
183,CDQ,14545132,17.8333,2022,8,1,2022-10-15
184,CDQ,14561781,50.9167,2022,8,1,2022-10-15
185,CDQ,14682882,68.0,2022,8,1,2022-10-15
186,CDQ,14682891,9.5833,2022,8,1,2022-10-15
187,CDQ,14758699,1.5,2022,8,1,2022-10-15
188,CDQ,14954868,64.5833,2022,8,1,2022-10-15
189,CDQ,14954876,16.0,2022,8,1,2022-10-15
190,CDQ,14960213,639.0,2022,8,1,2022-10-15
191,CDQ,14989788,22.0,2022,8,1,2022-10-15
192,CDQ,14989796,79.6667,2022,8,1,2022-10-15
193,CDQ,14989809,72.9167,2022,8,1,2022-10-15
194,CDQ,14989833,45.0,2022,8,1,2022-10-15
195,CDM,14001338,14.0833,2022,8,2,2022-10-22
196,CDM,14064873,51.5,2022,8,2,2022-10-22
197,CDM,14250123,38.3333,2022,8,2,2022-10-22
198,CDM,14545132,72.6667,2022,8,2,2022-10-22
199,CDM,14561781,98.9167,2022,8,2,2022-10-22
200,CDM,14682882,369.333,2022,8,2,2022-10-22
201,CDM,14682891,42.6667,2022,8,2,2022-10-22
202,CDM,14758699,423.917,2022,8,2,2022-10-22
203,CDM,14954868,84.6667,2022,8,2,2022-10-22
204,CDM,14954876,80.25,2022,8,2,2022-10-22
205,CDM,14960213,1098.17,2022,8,2,2022-10-22
206,CDM,14989770,111.75,2022,8,2,2022-10-22
207,CDM,14989788,122.667,2022,8,2,2022-10-22
208,CDM,14989796,43.4167,2022,8,2,2022-10-22
209,CDM,14989809,31.8333,2022,8,2,2022-10-22
210,CDM,14989825,378.083,2022,8,2,2022-10-22
211,CDM,14989833,55.0833,2022,8,2,2022-10-22
212,CDM,15095284,119.0,2022,8,2,2022-10-22
213,CDQ,14001338,7.25,2022,8,2,2022-10-22
214,CDQ,14064873,0.75,2022,8,2,2022-10-22
215,CDQ,14250123,13.75,2022,8,2,2022-10-22
216,CDQ,14545132,7.6667,2022,8,2,2022-10-22
217,CDQ,14561781,49.5833,2022,8,2,2022-10-22
218,CDQ,14682882,53.5833,2022,8,2,2022-10-22
219,CDQ,14682891,9.5833,2022,8,2,2022-10-22
220,CDQ,14954868,62.4167,2022,8,2,2022-10-22
221,CDQ,14954876,13.0,2022,8,2,2022-10-22
222,CDQ,14960213,624.0,2022,8,2,2022-10-22
223,CDQ,14989788,22.0,2022,8,2,2022-10-22
224,CDQ,14989796,79.6667,2022,8,2,2022-10-22
225,CDQ,14989809,71.9167,2022,8,2,2022-10-22
226,CDQ,14989833,42.9167,2022,8,2,2022-10-22
227,CDM,14001338,12.9167,2022,8,3,2022-10-29
228,CDM,14064873,32.25,2022,8,3,2022-10-29
229,CDM,14250123,27.8333,2022,8,3,2022-10-29
230,CDM,14545132,59.6667,2022,8,3,2022-10-29
231,CDM,14561781,81.3333,2022,8,3,2022-10-29
232,CDM,14682882,278.5,2022,8,3,2022-10-29
233,CDM,14682891,33.5,2022,8,3,2022-10-29
234,CDM,14758699,269.333,2022,8,3,2022-10-29
235,CDM,14954868,72.5,2022,8,3,2022-10-29
236,CDM,14954876,64.5833,2022,8,3,2022-10-29
237,CDM,14960213,1065.17,2022,8,3,2022-10-29
238,CDM,14989770,91.75,2022,8,3,2022-10-29
239,CDM,14989788,117.333,2022,8,3,2022-10-29
240,CDM,14989796,35.4167,2022,8,3,2022-10-29
241,CDM,14989809,29.75,2022,8,3,2022-10-29
242,CDM,14989825,377.833,2022,8,3,2022-10-29
243,CDM,14989833,45.5833,2022,8,3,2022-10-29
244,CDM,15095284,87.0,2022,8,3,2022-10-29
245,CDQ,14001338,6.25,2022,8,3,2022-10-29
246,CDQ,14064873,0.75,2022,8,3,2022-10-29
247,CDQ,14250123,11.75,2022,8,3,2022-10-29
248,CDQ,14545132,0.6667,2022,8,3,2022-10-29
249,CDQ,14561781,48.5833,2022,8,3,2022-10-29
250,CDQ,14682882,101.167,2022,8,3,2022-10-29
251,CDQ,14682891,8.5833,2022,8,3,2022-10-29
252,CDQ,14758699,114.0,2022,8,3,2022-10-29
253,CDQ,14954868,60.4167,2022,8,3,2022-10-29
254,CDQ,14954876,9.9167,2022,8,3,2022-10-29
255,CDQ,14960213,620.0,2022,8,3,2022-10-29
256,CDQ,14989788,21.0,2022,8,3,2022-10-29
257,CDQ,14989796,79.6667,2022,8,3,2022-10-29
258,CDQ,14989809,69.9167,2022,8,3,2022-10-29
259,CDQ,14989833,38.9167,2022,8,3,2022-10-29
260,CDQ,15095284,120.0,2022,8,3,2022-10-29
261,CDM,14001338,2.5833,2022,8,4,2022-11-05
262,CDM,14064873,71.25,2022,8,4,2022-11-05
263,CDM,14250123,25.6667,2022,8,4,2022-11-05
264,CDM,14545132,148.25,2022,8,4,2022-11-05
265,CDM,14561781,60.1667,2022,8,4,2022-11-05
266,CDM,14682882,187.833,2022,8,4,2022-11-05
267,CDM,14682891,30.25,2022,8,4,2022-11-05
268,CDM,14758699,214.917,2022,8,4,2022-11-05
269,CDM,14954868,67.0,2022,8,4,2022-11-05
270,CDM,14954876,48.1667,2022,8,4,2022-11-05
271,CDM,14960213,1021.17,2022,8,4,2022-11-05
272,CDM,14989770,74.0833,2022,8,4,2022-11-05
273,CDM,14989788,113.417,2022,8,4,2022-11-05
274,CDM,14989796,33.4167,2022,8,4,2022-11-05
275,CDM,14989809,27.5,2022,8,4,2022-11-05
276,CDM,14989825,375.5,2022,8,4,2022-11-05
277,CDM,14989833,48.1667,2022,8,4,2022-11-05
278,CDM,15095284,73.6667,2022,8,4,2022-11-05
279,CDQ,14001338,6.1667,2022,8,4,2022-11-05
280,CDQ,14064873,0.5833,2022,8,4,2022-11-05
281,CDQ,14250123,11.4167,2022,8,4,2022-11-05
282,CDQ,14545132,0.5833,2022,8,4,2022-11-05
283,CDQ,14561781,46.5833,2022,8,4,2022-11-05
284,CDQ,14682882,74.9167,2022,8,4,2022-11-05
285,CDQ,14682891,8.5833,2022,8,4,2022-11-05
286,CDQ,14758699,82.5,2022,8,4,2022-11-05
287,CDQ,14954868,56.5833,2022,8,4,2022-11-05
288,CDQ,14954876,7.9167,2022,8,4,2022-11-05
289,CDQ,14960213,599.0,2022,8,4,2022-11-05
290,CDQ,14989788,17.8333,2022,8,4,2022-11-05
291,CDQ,14989796,79.6667,2022,8,4,2022-11-05
292,CDQ,14989809,66.9167,2022,8,4,2022-11-05
293,CDQ,14989833,35.9167,2022,8,4,2022-11-05
